"OTU","kingdom","phylum","class","order","family","genus","species","exploration_type","guild","guild2"
"ITSall_OTUa_9138","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUf_574","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_13635","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius",NA,"medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_19104","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_177","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Cantharellaceae","Craterellus",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_5685","Fungi","Glomeromycota","Glomeromycetes",NA,NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUm_14563","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_484","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_10308","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",NA,"medium-distance_smooth","Ectomycorrhizal-Undefined Saprotroph","Ectomycorrhizal"
"ITSall_OTUa_6570","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_851","Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Ambisporaceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUa_6712","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_9095","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,"medium-distance_fringe","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_994","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_464","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Lactarius","Lactarius_umerensis","medium-distance_smooth","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUa_4555","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUm_386","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Descolea",NA,"short-distance_delicate","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUn_12223","Fungi","Basidiomycota","Agaricomycetes","Russulales","Russulaceae","Russula",NA,"contact","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_20919","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_14517","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Serendipitaceae","Serendipita",NA,NA,"Orchid Mycorrhizal","Orchid Mycorrhizal"
"ITSall_OTUj_1545","Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia",NA,"short-distance_coarse","Ectomycorrhizal","Ectomycorrhizal"
"ITSall_OTUj_6744","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_7447","Fungi","Glomeromycota","Glomeromycetes","Glomerales",NA,NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_17852","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
"ITSall_OTUj_6467","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae",NA,NA,NA,"Arbuscular Mycorrhizal","Arbuscular Mycorrhizal"
