"Site","Transect","Location","Fire.Interval","Fire.Severity","Latitude","Longitude","Ortho_P_mg_kg","Nitrate_mg_kg","Ammonia_mg_kg","pH","perc_myco_host_freq","AM_host","EcM_host","Biomass_day","Tube_ID","ratio_myco_nonmyco","myco_reads"
11,1,33,"Short","High",-33.51962,150.35631,0.914244186046512,0.10828488372093,2.52834302325581,5.01,0.73125,0.65625,0.075,0.00397785002614055,82,1,858
11,1,47,"Short","High",-33.51962,150.35631,0.388253638253638,0.261954261954262,0.0748440748440748,5.21,0.73125,0.65625,0.075,0.00371990249776143,76,1,12987
11,2,16,"Short","High",-33.51962,150.35631,0.111,2.51025,0.543,5.59,0.66044776119403,0.529850746268657,0.104477611940299,0.0125361557765443,87,1,3857
11,2,47,"Short","High",-33.51962,150.35631,0.191394658753709,0.249258160237389,0.249258160237389,5.04,0.66044776119403,0.529850746268657,0.104477611940299,0.00306978864085728,85,0.999767922207524,43079
12,1,3,"Long","High",-33.52589,150.56587,1.45035105315948,0.252758274824473,0.252758274824473,4.52,0.724279835390947,0.649193548387097,0.0403225806451613,0.0111971072690091,49,1,32
12,1,16,"Long","High",-33.52589,150.56587,0.672727272727273,0.254545454545455,1.3780303030303,5.45,0.724279835390947,0.649193548387097,0.0403225806451613,0.00137657588314435,48,1,573
12,1,33,"Long","High",-33.52589,150.56587,0.639320388349515,0.511165048543689,4.13228155339806,5.31,0.724279835390947,0.649193548387097,0.0403225806451613,0.00267075999865902,47,1,1536
12,1,47,"Long","High",-33.52589,150.56587,0.484802431610942,0.0524316109422492,2.23936170212766,5.31,0.724279835390947,0.649193548387097,0.0403225806451613,0.00634901021173408,45,1,1667
12,2,3,"Long","High",-33.52589,150.56587,0.105160662122687,0.720058422590068,2.03967867575463,4.83,0.786885245901639,0.704918032786885,0.0286885245901639,0.00446550486221169,54,1,5857
12,2,16,"Long","High",-33.52589,150.56587,0.943139097744361,0.236842105263158,4.47885338345865,5.33,0.786885245901639,0.704918032786885,0.0286885245901639,0.00483991288726264,59,1,5232
12,2,33,"Long","High",-33.52589,150.56587,0.970141700404858,0.242914979757085,6.0334008097166,5.5,0.786885245901639,0.704918032786885,0.0286885245901639,0.00616109426971131,68,1,12069
12,2,47,"Long","High",-33.52589,150.56587,0.644955925563174,0.246816846229187,0.209353574926543,5.23,0.786885245901639,0.704918032786885,0.0286885245901639,0.0077998119462303,67,1,4454
26,1,3,"Short","Low",-33.4982,150.50014,1.03069306930693,0.24950495049505,1.26237623762376,5.3,0.858369098712446,0.768240343347639,0.0858369098712446,0.0100359654196314,51,1,30668
26,1,16,"Short","Low",-33.4982,150.50014,1.14174757281553,0.120873786407767,0.87378640776699,5.47,0.858369098712446,0.768240343347639,0.0858369098712446,0.0101310085903411,53,1,395
