"kingdom","phylum","class","order","family","genus","species","SH_species","OTU","exploration_type","Ecm_lineage","mean_gs"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Helotiales_sp","ITSall_OTUj_10443","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hydnangiaceae","Laccaria","Laccaria_alba","Laccaria_alba","ITSall_OTUa_8584","short-distance_delicate","/laccaria","57.595"
"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","unknown","Cortinarius_sp","ITSall_OTUj_3346","medium-distance_fringe","/cortinarius","62.89"
"Fungi","Ascomycota","Leotiomycetes","Helotiales","Myxotrichaceae","Oidiodendron","unknown","Oidiodendron_sp","ITSall_OTUc_407","unknown","unknown","46.43"
"Fungi","Basidiomycota","Agaricomycetes","Hymenochaetales","Hymenochaetaceae","Coltricia","unknown","Coltricia_sp","ITSall_OTUj_119","short-distance_coarse","/coltricia","62.11"
"Fungi","Basidiomycota","Agaricomycetes","Hysterangiales","Hysterangiaceae","Hysterangium","unknown","Hysterangiales_sp","ITSall_OTUf_540","mat","/hysterangium","111.84"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUm_9536","unknown","unknown","unknown"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUf_1","unknown","unknown","unknown"
"Fungi","Basidiomycota","Agaricomycetes","Boletales","Pisolithaceae","Pisolithus","unknown","Pisolithus_sp","ITSall_OTUa_720","long-distance","/pisolithus-scleroderma","80.2764285714286"
"Fungi","Glomeromycota","Glomeromycetes","Glomerales","unknown","unknown","unknown","Glomeromycota_sp","ITSall_OTUj_3647","unknown","unknown","unknown"
